row_index,entry,name,InChIKey,conf_id,boltzmann_weight,cache_file
48,A8,3'-methoxyacetophenone,BAYUSCHCCGXLAY-UHFFFAOYSA-N,430,0.6366115768492311,BAYUSCHCCGXLAY-UHFFFAOYSA-N_conf430.npy
48,A8,3'-methoxyacetophenone,BAYUSCHCCGXLAY-UHFFFAOYSA-N,396,0.1483328602232976,BAYUSCHCCGXLAY-UHFFFAOYSA-N_conf396.npy
48,A8,3'-methoxyacetophenone,BAYUSCHCCGXLAY-UHFFFAOYSA-N,37,0.1167798950486538,BAYUSCHCCGXLAY-UHFFFAOYSA-N_conf37.npy
48,A8,3'-methoxyacetophenone,BAYUSCHCCGXLAY-UHFFFAOYSA-N,137,0.0982756678788174,BAYUSCHCCGXLAY-UHFFFAOYSA-N_conf137.npy
49,B1,1-indanone,QNXSIUBBGPHDDE-UHFFFAOYSA-N,13,1.0,QNXSIUBBGPHDDE-UHFFFAOYSA-N_conf13.npy
50,A13,propiophenone,KRIOVPPHQSLHCZ-UHFFFAOYSA-N,321,1.0,KRIOVPPHQSLHCZ-UHFFFAOYSA-N_conf321.npy
51,A19,cyclobutyl phenyl ketone,MVEBDOSCXOQNAR-UHFFFAOYSA-N,352,0.5,MVEBDOSCXOQNAR-UHFFFAOYSA-N_conf352.npy
51,A19,cyclobutyl phenyl ketone,MVEBDOSCXOQNAR-UHFFFAOYSA-N,546,0.5,MVEBDOSCXOQNAR-UHFFFAOYSA-N_conf546.npy
52,B3,1-tetralone,XHLHPRDBBAGVEG-UHFFFAOYSA-N,192,1.0,XHLHPRDBBAGVEG-UHFFFAOYSA-N_conf192.npy
53,A22,cyclohexyl phenyl ketone,BMFYCFSWWDXEPB-UHFFFAOYSA-N,250,0.4107271653410102,BMFYCFSWWDXEPB-UHFFFAOYSA-N_conf250.npy
53,A22,cyclohexyl phenyl ketone,BMFYCFSWWDXEPB-UHFFFAOYSA-N,534,0.4107271653410102,BMFYCFSWWDXEPB-UHFFFAOYSA-N_conf534.npy
53,A22,cyclohexyl phenyl ketone,BMFYCFSWWDXEPB-UHFFFAOYSA-N,712,0.0888841706198058,BMFYCFSWWDXEPB-UHFFFAOYSA-N_conf712.npy
53,A22,cyclohexyl phenyl ketone,BMFYCFSWWDXEPB-UHFFFAOYSA-N,714,0.0888841706198058,BMFYCFSWWDXEPB-UHFFFAOYSA-N_conf714.npy
53,A22,cyclohexyl phenyl ketone,BMFYCFSWWDXEPB-UHFFFAOYSA-N,32,0.0007773280783676,BMFYCFSWWDXEPB-UHFFFAOYSA-N_conf32.npy
54,A18,valerophenone,XKGLSKVNOSHTAD-UHFFFAOYSA-N,510,0.2614888672432284,XKGLSKVNOSHTAD-UHFFFAOYSA-N_conf510.npy
54,A18,valerophenone,XKGLSKVNOSHTAD-UHFFFAOYSA-N,479,0.248952369592256,XKGLSKVNOSHTAD-UHFFFAOYSA-N_conf479.npy
54,A18,valerophenone,XKGLSKVNOSHTAD-UHFFFAOYSA-N,562,0.248952369592256,XKGLSKVNOSHTAD-UHFFFAOYSA-N_conf562.npy
54,A18,valerophenone,XKGLSKVNOSHTAD-UHFFFAOYSA-N,163,0.1247760800169061,XKGLSKVNOSHTAD-UHFFFAOYSA-N_conf163.npy
54,A18,valerophenone,XKGLSKVNOSHTAD-UHFFFAOYSA-N,668,0.1158303135553535,XKGLSKVNOSHTAD-UHFFFAOYSA-N_conf668.npy
55,A14,butyrophenone,FFSAXUULYPJSKH-UHFFFAOYSA-N,308,0.3722071630796492,FFSAXUULYPJSKH-UHFFFAOYSA-N_conf308.npy
55,A14,butyrophenone,FFSAXUULYPJSKH-UHFFFAOYSA-N,121,0.2825082504265359,FFSAXUULYPJSKH-UHFFFAOYSA-N_conf121.npy
55,A14,butyrophenone,FFSAXUULYPJSKH-UHFFFAOYSA-N,167,0.2825082504265359,FFSAXUULYPJSKH-UHFFFAOYSA-N_conf167.npy
55,A14,butyrophenone,FFSAXUULYPJSKH-UHFFFAOYSA-N,180,0.0313881680336394,FFSAXUULYPJSKH-UHFFFAOYSA-N_conf180.npy
55,A14,butyrophenone,FFSAXUULYPJSKH-UHFFFAOYSA-N,443,0.0313881680336394,FFSAXUULYPJSKH-UHFFFAOYSA-N_conf443.npy
56,B4,1-benzosuberone,KWHUHTFXMNQHAA-UHFFFAOYSA-N,475,0.3778034902161302,KWHUHTFXMNQHAA-UHFFFAOYSA-N_conf475.npy
56,B4,1-benzosuberone,KWHUHTFXMNQHAA-UHFFFAOYSA-N,526,0.3778034902161302,KWHUHTFXMNQHAA-UHFFFAOYSA-N_conf526.npy
56,B4,1-benzosuberone,KWHUHTFXMNQHAA-UHFFFAOYSA-N,161,0.1221965097838697,KWHUHTFXMNQHAA-UHFFFAOYSA-N_conf161.npy
56,B4,1-benzosuberone,KWHUHTFXMNQHAA-UHFFFAOYSA-N,348,0.1221965097838697,KWHUHTFXMNQHAA-UHFFFAOYSA-N_conf348.npy
57,A23,benzophenone,RWCCWEUUXYIKHB-KHWBWMQUSA-N,14,0.5,RWCCWEUUXYIKHB-KHWBWMQUSA-N_conf14.npy
57,A23,benzophenone,RWCCWEUUXYIKHB-KHWBWMQUSA-N,489,0.5,RWCCWEUUXYIKHB-KHWBWMQUSA-N_conf489.npy
58,A2,4'-methylacetophenone,GNKZMNRKLCTJAY-UHFFFAOYSA-N,333,1.0,GNKZMNRKLCTJAY-UHFFFAOYSA-N_conf333.npy
59,A21,cyclopentyl phenyl ketone,VYDIMQRLNMMJBW-UHFFFAOYSA-N,147,0.4992825264104187,VYDIMQRLNMMJBW-UHFFFAOYSA-N_conf147.npy
59,A21,cyclopentyl phenyl ketone,VYDIMQRLNMMJBW-UHFFFAOYSA-N,411,0.4992825264104187,VYDIMQRLNMMJBW-UHFFFAOYSA-N_conf411.npy
59,A21,cyclopentyl phenyl ketone,VYDIMQRLNMMJBW-UHFFFAOYSA-N,286,0.0007189933609419,VYDIMQRLNMMJBW-UHFFFAOYSA-N_conf286.npy
59,A21,cyclopentyl phenyl ketone,VYDIMQRLNMMJBW-UHFFFAOYSA-N,186,0.0007159538182207,VYDIMQRLNMMJBW-UHFFFAOYSA-N_conf186.npy
60,D15(trans),(-)-menthone (eq),NFLGAXVYCFJBMK-DTWKUNHWSA-N,182,0.5488227418356767,NFLGAXVYCFJBMK-DTWKUNHWSA-N_conf182.npy
60,D15(trans),(-)-menthone (eq),NFLGAXVYCFJBMK-DTWKUNHWSA-N,270,0.2331716737043238,NFLGAXVYCFJBMK-DTWKUNHWSA-N_conf270.npy
60,D15(trans),(-)-menthone (eq),NFLGAXVYCFJBMK-DTWKUNHWSA-N,756,0.2086978304206128,NFLGAXVYCFJBMK-DTWKUNHWSA-N_conf756.npy
60,D15(trans),(-)-menthone (eq),NFLGAXVYCFJBMK-DTWKUNHWSA-N,1,0.0088372403281767,NFLGAXVYCFJBMK-DTWKUNHWSA-N_conf1.npy
60,D15(trans),(-)-menthone (eq),NFLGAXVYCFJBMK-DTWKUNHWSA-N,86,0.0004705137112099,NFLGAXVYCFJBMK-DTWKUNHWSA-N_conf86.npy
61,D15(cis),(-)-menthone (ax),NFLGAXVYCFJBMK-BDAKNGLRSA-N,400,0.5488227418356767,NFLGAXVYCFJBMK-BDAKNGLRSA-N_conf400.npy
