feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
53,"electronic:grid:(-2, 2, 2)",electronic,grid,-2.0,2.0,2.0,-2.116708843612,2.116708843612,2.116708843612,3.6662472619663484,0.22143678764287458,True,1.0,0.2099581356619277,0.2156953901489096,0.18464354423397505,0.2251456848489865,0.2156953901489096,1.0,positive,0.5889630549926856,0.47160426349034684,1.601525629305902,0.22143678764287458
54,"electronic:grid:(-2, 2, 3)",electronic,grid,-2.0,2.0,3.0,-2.116708843612,2.116708843612,3.1750632654179998,4.363707070445645,-0.0,False,0.03614457831325301,-0.0003898488475218051,0.0,0.0,-0.0,-0.015503817122095087,1.0,negative,0.0,0.0,0.0,0.0
55,"electronic:grid:(-2, 3, -2)",electronic,grid,-2.0,3.0,-2.0,-2.116708843612,3.1750632654179998,-2.116708843612,4.363707070445645,0.0634516235789669,True,1.0,0.060087275535479476,0.06136205469661185,0.053979797233661114,0.06873929803217388,0.06136205469661185,1.0,positive,0.14558939041974628,0.1118674367346541,0.3270112610364292,0.0634516235789669
56,"electronic:grid:(-2, 3, -1)",electronic,grid,-2.0,3.0,-1.0,-2.116708843612,3.1750632654179998,-1.058354421806,3.9599996401752833,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
57,"electronic:grid:(-2, 3, 1)",electronic,grid,-2.0,3.0,1.0,-2.116708843612,3.1750632654179998,1.058354421806,3.9599996401752833,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
58,"electronic:grid:(-2, 3, 2)",electronic,grid,-2.0,3.0,2.0,-2.116708843612,3.1750632654179998,2.116708843612,4.363707070445645,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
59,"electronic:grid:(-2, 3, 3)",electronic,grid,-2.0,3.0,3.0,-2.116708843612,3.1750632654179998,3.1750632654179998,4.9641222595176755,0.0,False,0.012048192771084338,0.0001139816481690234,0.0,0.0,0.0,0.009460476798028942,1.0,positive,0.0,0.0,0.0,0.0
60,"electronic:grid:(-1, 1, -2)",electronic,grid,-1.0,1.0,-2.0,-1.058354421806,1.058354421806,-2.116708843612,2.5924283004430175,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
61,"electronic:grid:(-1, 1, -1)",electronic,grid,-1.0,1.0,-1.0,-1.058354421806,1.058354421806,-1.058354421806,1.8331236309831742,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
62,"electronic:grid:(-1, 1, 1)",electronic,grid,-1.0,1.0,1.0,-1.058354421806,1.058354421806,1.058354421806,1.8331236309831742,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
